0,0.00714,0.00338,0.00718
64,0.00427,0.00338,0.00718
128,0.00824,0.00528,0.00738
192,0.00471,0.01098,0.00499
256,0.00427,0.00718,0.00679
320,0.00493,0.01098,0.00639
384,0.00626,0.00147,0.00519
448,0.00802,0.00528,0.00639
512,0.0067,0.00908,0.00499
576,0.00294,0.00528,0.00559
640,0.00493,0.00908,0.00679
704,0.00537,0.00718,0.00499
768,0.00692,0.00908,0.00898
832,0.0067,0.01098,0.01237
896,0.05466,0.15744,0.05767
960,0.25712,0.77176,0.28278
1024,0.64704,2.1431,0.80104
1088,1.77251,5.42404,1.91063
1152,3.87851,11.81267,4.32796
1216,3.87121,11.51025,5.55302
1280,2.42101,5.73206,2.98429
1344,1.71351,2.67563,1.79709
1408,1.45312,1.74939,1.40714
1472,1.23939,1.32526,1.25983
1536,1.10785,1.14264,1.12632
1600,1,1,1
1664,0.92466,0.82311,0.94115
1728,0.86189,0.77749,0.89127
1792,0.78649,0.65387,0.84895
1856,0.76662,0.61771,0.746
1920,0.70627,0.54543,0.73302
1984,0.68701,0.54543,0.65359
2048,0.62469,0.48075,0.63722
2112,0.59887,0.46934,0.58531
2176,0.58472,0.4104,0.56873
2240,0.5396,0.4161,0.52945
2304,0.50424,0.33052,0.49612
2368,0.48302,0.34383,0.47895
2432,0.46534,0.32291,0.43765
2496,0.44633,0.33432,0.42847
2560,0.41848,0.27536,0.40971
2624,0.40389,0.28487,0.36341
2688,0.3703,0.24112,0.37199
2752,0.35129,0.2202,0.33407
2816,0.33869,0.20118,0.34684
2880,0.33559,0.23922,0.3189
2944,0.32609,0.19548,0.28837
3008,0.31813,0.20499,0.28578
3072,0.31172,0.22781,0.25544
3136,0.28321,0.19548,0.24985
3200,0.2726,0.15934,0.23349
3264,0.27857,0.16695,0.21134
3328,0.26928,0.1289,0.21294
3392,0.23988,0.13842,0.20934
3456,0.2421,0.14793,0.20435
3520,0.24011,0.13842,0.19677
3584,0.21667,0.14222,0.18699
3648,0.2043,0.11939,0.185
3712,0.19723,0.13651,0.17003
3776,0.20408,0.09848,0.16743
3840,0.1875,0.13651,0.15486
3904,0.19281,0.10608,0.15386
3968,0.17534,0.11369,0.1383
4032,0.18507,0.09657,0.1365
4096,0.16871,0.09848,0.12593
4160,0.16407,0.07755,0.12732
4224,0.16253,0.09087,0.12174
4288,0.15589,0.07755,0.10976
4352,0.16186,0.08326,0.11614
4416,0.14263,0.07945,0.10557
4480,0.14241,0.09277,0.10397
4544,0.13534,0.07375,0.10417
4608,0.11876,0.08897,0.0942
4672,0.12517,0.09277,0.09459
4736,0.12031,0.05283,0.08681
4800,0.12915,0.06614,0.08641
